num_packets,seed,edge_probability,ttl,generated,delivered,duplicates,dropped,transmissions,delivery_rate,duplicate_ratio,mean_hops
200,16,0.2,20,200,200,2200,0,4000,1.0,0.55,7.0
200,17,0.2,20,200,200,2400,0,4200,1.0,0.5714285714285714,7.0
200,18,0.2,20,200,200,2200,0,4000,1.0,0.55,5.0
200,19,0.2,20,200,200,2600,0,4400,1.0,0.5909090909090909,4.0
200,20,0.2,20,200,200,3000,0,4800,1.0,0.625,7.0
500,1,0.2,20,500,500,5500,0,10000,1.0,0.55,5.0
500,2,0.2,20,500,500,5500,0,10000,1.0,0.55,7.0
500,3,0.2,20,500,500,2500,0,7000,1.0,0.35714285714285715,5.0
500,4,0.2,20,500,500,6500,0,11000,1.0,0.5909090909090909,5.0
500,5,0.2,20,500,500,8500,0,13000,1.0,0.6538461538461539,7.0
500,6,0.2,20,500,500,6000,0,10500,1.0,0.5714285714285714,3.0
500,7,0.2,20,500,500,8500,0,13000,1.0,0.6538461538461539,5.0
500,8,0.2,20,500,500,6000,0,10500,1.0,0.5714285714285714,3.0
500,9,0.2,20,500,500,5000,0,9500,1.0,0.5263157894736842,6.0
500,10,0.2,20,500,500,7500,0,12000,1.0,0.625,6.0
500,11,0.2,20,500,500,9500,0,14000,1.0,0.6785714285714286,9.0
500,12,0.2,20,500,500,7000,0,11500,1.0,0.6086956521739131,7.0
500,13,0.2,20,500,500,4500,0,9000,1.0,0.5,7.0
500,14,0.2,20,500,500,6500,0,11000,1.0,0.5909090909090909,5.0
500,15,0.2,20,500,500,5000,0,9500,1.0,0.5263157894736842,6.0
500,16,0.2,20,500,500,5500,0,10000,1.0,0.55,7.0
500,17,0.2,20,500,500,6000,0,10500,1.0,0.5714285714285714,7.0
500,18,0.2,20,500,500,5500,0,10000,1.0,0.55,5.0
500,19,0.2,20,500,500,6500,0,11000,1.0,0.5909090909090909,4.0
500,20,0.2,20,500,500,7500,0,12000,1.0,0.625,7.0
